---,Participant,Text,JumpTo,EventName,ContinueFrom,Branchs,DialogueSound
Section2_06,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",What? You mean like in Inception? You must watch too many movies.,Section2_07,,,,
Section2_07,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",You made this place up to deal with your loneliness.,Section2_08,,,,
Section2_08,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",Are you drunk or something?,Section2_09,,,,
Section2_09,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Can you tell me where you lived before you moved here?,Section2_10,,,,
Section2_10,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")","No. I mean, I think most of the others lived in this area over yonder, but it grew unstable and we've had to put a gate around it to keep people from wandering off and getting hurt. But I digress. I don't think I've ever lived anywhere else, personally.",Section2_11,,,,
Section2_11,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Doesn't that strike you as odd?,Section2_12,,,,
Section2_12,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",Not particularly.,Section2_13,,,,
Section2_13,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",What if I could prove it to you?,Section2_14,,,,
Section2_14,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",That'd never happen.,Section2_15,,,,
Section2_15,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",I could go find the area you mentioned.,Section2_16,,,,
Section2_16,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",I wouldn't recommend it. It's dangerous.,Section2_17,,,,
Section2_17,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",So?,Section2_18,,,,
Section2_18,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")","...You're one of those people who explores abandoned buildings for fun, aren't you?",Section2_19,,,,
Section2_19,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",Maybe I am.,Section2_20,,,,
Section2_20,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")","Well, do whatever you like.",Section2_21,,,,
Section2_21,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""Player"")",See you in a bit then.,Section2_22,,,,
Section2_22,"(DataTable=""/Script/Engine.DataTable'/Game/Patchwork/Data/Datatables/DT_DialogueParticipants.DT_DialogueParticipants'"",RowName=""PD_Dreamer"")",Bye.,[Finish],,,,
